Time Stamp, Date, Time, Counter Value, Increment
2019-09-27 07:15:33.6810, 2019-09-27, 07:15:33, 31, 1
2019-09-27 07:15:36.9340, 2019-09-27, 07:15:36, 32, 1
2019-09-27 07:15:41.3620, 2019-09-27, 07:15:41, 33, 1
2019-09-27 07:15:58.1760, 2019-09-27, 07:15:58, 34, 1
2019-09-27 07:15:59.9100, 2019-09-27, 07:15:59, 35, 1
2019-09-27 07:16:02.7490, 2019-09-27, 07:16:02, 36, 1
2019-09-27 07:16:05.3610, 2019-09-27, 07:16:05, 37, 1
2019-09-27 07:16:07.0410, 2019-09-27, 07:16:07, 38, 1
2019-09-27 07:16:12.7200, 2019-09-27, 07:16:12, 39, 1
2019-09-27 07:16:15.3780, 2019-09-27, 07:16:15, 40, 1
2019-09-27 07:16:17.4850, 2019-09-27, 07:16:17, 41, 1
2019-09-27 07:16:19.2130, 2019-09-27, 07:16:19, 42, 1
2019-09-27 07:16:21.1380, 2019-09-27, 07:16:21, 43, 1
2019-09-27 07:16:22.9150, 2019-09-27, 07:16:22, 44, 1
2019-09-27 07:16:25.8970, 2019-09-27, 07:16:25, 45, 1
2019-09-27 07:16:28.9010, 2019-09-27, 07:16:28, 46, 1
2019-09-27 07:16:31.0240, 2019-09-27, 07:16:31, 47, 1
2019-09-27 07:16:34.3470, 2019-09-27, 07:16:34, 48, 1
2019-09-27 07:16:36.2890, 2019-09-27, 07:16:36, 49, 1
2019-09-27 07:16:39.2980, 2019-09-27, 07:16:39, 50, 1
2019-09-27 07:16:43.6000, 2019-09-27, 07:16:43, 51, 1
2019-09-27 07:16:45.3990, 2019-09-27, 07:16:45, 52, 1
2019-09-27 07:16:48.7650, 2019-09-27, 07:16:48, 53, 1
2019-09-27 07:16:51.0240, 2019-09-27, 07:16:51, 54, 1
2019-09-27 07:16:53.3140, 2019-09-27, 07:16:53, 55, 1
2019-09-27 07:16:56.6430, 2019-09-27, 07:16:56, 56, 1
2019-09-27 07:16:59.2560, 2019-09-27, 07:16:59, 57, 1
2019-09-27 07:17:02.2070, 2019-09-27, 07:17:02, 58, 1
2019-09-27 07:17:05.5000, 2019-09-27, 07:17:05, 59, 1
2019-09-27 07:17:10.7280, 2019-09-27, 07:17:10, 60, 1
2019-09-27 07:17:12.0260, 2019-09-27, 07:17:12, 61, 1
2019-09-27 07:17:14.8770, 2019-09-27, 07:17:14, 62, 1
2019-09-27 07:17:17.1260, 2019-09-27, 07:17:17, 63, 1
2019-09-27 07:17:19.1240, 2019-09-27, 07:17:19, 64, 1
2019-09-27 07:17:21.1530, 2019-09-27, 07:17:21, 65, 1
2019-09-27 07:17:24.2440, 2019-09-27, 07:17:24, 66, 1
2019-09-27 07:17:27.1510, 2019-09-27, 07:17:27, 67, 1
2019-09-27 07:17:28.6750, 2019-09-27, 07:17:28, 68, 1
2019-09-27 07:17:30.9660, 2019-09-27, 07:17:30, 69, 1
2019-09-27 07:17:35.1130, 2019-09-27, 07:17:35, 70, 1
2019-09-27 07:17:37.5670, 2019-09-27, 07:17:37, 71, 1
2019-09-27 07:17:39.9480, 2019-09-27, 07:17:39, 72, 1
2019-09-27 07:17:42.2270, 2019-09-27, 07:17:42, 73, 1
2019-09-27 07:17:45.9880, 2019-09-27, 07:17:45, 74, 1
2019-09-27 07:17:49.0970, 2019-09-27, 07:17:49, 75, 1
2019-09-27 07:17:53.8970, 2019-09-27, 07:17:53, 76, 1
2019-09-27 07:17:56.6220, 2019-09-27, 07:17:56, 77, 1
2019-09-27 07:18:12.9840, 2019-09-27, 07:18:12, 78, 1
2019-09-27 07:18:28.6780, 2019-09-27, 07:18:28, 79, 1
2019-09-27 07:18:44.2620, 2019-09-27, 07:18:44, 80, 1
2019-09-27 07:18:47.8050, 2019-09-27, 07:18:47, 81, 1
2019-09-27 07:18:49.9950, 2019-09-27, 07:18:49, 82, 1
2019-09-27 07:18:53.6460, 2019-09-27, 07:18:53, 83, 1
2019-09-27 07:18:56.2950, 2019-09-27, 07:18:56, 84, 1
2019-09-27 07:18:57.8470, 2019-09-27, 07:18:57, 85, 1
2019-09-27 07:18:59.3800, 2019-09-27, 07:18:59, 86, 1
2019-09-27 07:19:00.9230, 2019-09-27, 07:19:00, 87, 1
2019-09-27 07:19:09.0020, 2019-09-27, 07:19:09, 88, 1
2019-09-27 07:19:13.5180, 2019-09-27, 07:19:13, 89, 1
2019-09-27 07:19:15.9920, 2019-09-27, 07:19:15, 90, 1
2019-09-27 07:19:17.2840, 2019-09-27, 07:19:17, 91, 1
2019-09-27 07:19:19.1090, 2019-09-27, 07:19:19, 92, 1
2019-09-27 07:19:26.4260, 2019-09-27, 07:19:26, 93, 1
2019-09-27 07:19:31.8530, 2019-09-27, 07:19:31, 94, 1
2019-09-27 07:19:34.3260, 2019-09-27, 07:19:34, 95, 1
2019-09-27 07:19:37.0920, 2019-09-27, 07:19:37, 96, 1
2019-09-27 07:19:40.4390, 2019-09-27, 07:19:40, 97, 1
2019-09-27 07:19:43.3110, 2019-09-27, 07:19:43, 98, 1
2019-09-27 07:19:44.8660, 2019-09-27, 07:19:44, 99, 1
2019-09-27 07:19:46.6200, 2019-09-27, 07:19:46, 100, 1
2019-09-27 07:19:50.4920, 2019-09-27, 07:19:50, 101, 1
2019-09-27 07:19:52.9460, 2019-09-27, 07:19:52, 102, 1
2019-09-27 07:19:54.7310, 2019-09-27, 07:19:54, 103, 1
2019-09-27 07:20:02.4180, 2019-09-27, 07:20:02, 104, 1
2019-09-27 07:20:06.0460, 2019-09-27, 07:20:06, 105, 1
2019-09-27 07:20:07.3300, 2019-09-27, 07:20:07, 106, 1
2019-09-27 07:20:10.4480, 2019-09-27, 07:20:10, 107, 1
2019-09-27 07:20:13.3010, 2019-09-27, 07:20:13, 108, 1
2019-09-27 07:20:15.4170, 2019-09-27, 07:20:15, 109, 1
2019-09-27 07:20:18.0570, 2019-09-27, 07:20:18, 110, 1
2019-09-27 07:20:19.9330, 2019-09-27, 07:20:19, 111, 1
2019-09-27 07:20:22.2490, 2019-09-27, 07:20:22, 112, 1
2019-09-27 07:20:25.6320, 2019-09-27, 07:20:25, 113, 1
2019-09-27 07:20:31.7710, 2019-09-27, 07:20:31, 114, 1
2019-09-27 07:20:36.1950, 2019-09-27, 07:20:36, 115, 1
2019-09-27 07:20:42.7560, 2019-09-27, 07:20:42, 116, 1
2019-09-27 07:20:46.8920, 2019-09-27, 07:20:46, 117, 1
2019-09-27 07:20:48.8450, 2019-09-27, 07:20:48, 118, 1
2019-09-27 07:20:50.9760, 2019-09-27, 07:20:50, 119, 1
2019-09-27 07:20:53.9560, 2019-09-27, 07:20:53, 120, 1
2019-09-27 07:20:56.5000, 2019-09-27, 07:20:56, 121, 1
2019-09-27 07:20:58.1700, 2019-09-27, 07:20:58, 122, 1
2019-09-27 07:21:00.2430, 2019-09-27, 07:21:00, 123, 1
2019-09-27 07:21:02.8640, 2019-09-27, 07:21:02, 124, 1
2019-09-27 07:21:06.4550, 2019-09-27, 07:21:06, 125, 1
2019-09-27 07:21:08.6040, 2019-09-27, 07:21:08, 126, 1
2019-09-27 07:21:10.8370, 2019-09-27, 07:21:10, 127, 1
2019-09-27 07:21:13.8880, 2019-09-27, 07:21:13, 128, 1
2019-09-27 07:21:16.4810, 2019-09-27, 07:21:16, 129, 1
2019-09-27 07:21:20.5560, 2019-09-27, 07:21:20, 130, 1
2019-09-27 07:21:22.1980, 2019-09-27, 07:21:22, 131, 1
2019-09-27 07:21:36.6110, 2019-09-27, 07:21:36, 132, 1
2019-09-27 07:21:46.7530, 2019-09-27, 07:21:46, 133, 1
2019-09-27 07:21:48.5600, 2019-09-27, 07:21:48, 134, 1
2019-09-27 07:21:56.3760, 2019-09-27, 07:21:56, 135, 1
2019-09-27 07:21:58.4360, 2019-09-27, 07:21:58, 136, 1
2019-09-27 07:22:00.0610, 2019-09-27, 07:22:00, 137, 1
2019-09-27 07:22:02.0800, 2019-09-27, 07:22:02, 138, 1
2019-09-27 07:22:05.3730, 2019-09-27, 07:22:05, 139, 1
2019-09-27 07:22:07.1940, 2019-09-27, 07:22:07, 140, 1
2019-09-27 07:22:09.6790, 2019-09-27, 07:22:09, 141, 1
2019-09-27 07:22:11.1200, 2019-09-27, 07:22:11, 142, 1
2019-09-27 07:22:13.5960, 2019-09-27, 07:22:13, 143, 1
2019-09-27 07:22:17.0880, 2019-09-27, 07:22:17, 144, 1
2019-09-27 07:22:19.1080, 2019-09-27, 07:22:19, 145, 1
2019-09-27 07:22:21.0310, 2019-09-27, 07:22:21, 146, 1
2019-09-27 07:22:23.2110, 2019-09-27, 07:22:23, 147, 1
2019-09-27 07:22:25.2460, 2019-09-27, 07:22:25, 148, 1
2019-09-27 07:22:27.2170, 2019-09-27, 07:22:27, 149, 1
2019-09-27 07:22:28.6400, 2019-09-27, 07:22:28, 150, 1
2019-09-27 07:22:31.4090, 2019-09-27, 07:22:31, 151, 1
2019-09-27 07:22:34.1020, 2019-09-27, 07:22:34, 152, 1
2019-09-27 07:22:36.6820, 2019-09-27, 07:22:36, 153, 1
2019-09-27 07:22:39.2260, 2019-09-27, 07:22:39, 154, 1
2019-09-27 07:22:41.6660, 2019-09-27, 07:22:41, 155, 1
2019-09-27 07:22:43.8220, 2019-09-27, 07:22:43, 156, 1
2019-09-27 07:22:45.8430, 2019-09-27, 07:22:45, 157, 1
2019-09-27 07:22:48.4410, 2019-09-27, 07:22:48, 158, 1
2019-09-27 07:22:51.4000, 2019-09-27, 07:22:51, 159, 1
2019-09-27 07:22:53.9390, 2019-09-27, 07:22:53, 160, 1
2019-09-27 07:22:56.5510, 2019-09-27, 07:22:56, 161, 1
2019-09-27 07:22:59.3110, 2019-09-27, 07:22:59, 162, 1
2019-09-27 07:23:02.7360, 2019-09-27, 07:23:02, 163, 1
2019-09-27 07:23:10.6410, 2019-09-27, 07:23:10, 164, 1
2019-09-27 07:23:12.5350, 2019-09-27, 07:23:12, 165, 1
2019-09-27 07:23:14.5190, 2019-09-27, 07:23:14, 166, 1
2019-09-27 07:23:16.2560, 2019-09-27, 07:23:16, 167, 1
2019-09-27 07:23:18.5050, 2019-09-27, 07:23:18, 168, 1
2019-09-27 07:23:21.0210, 2019-09-27, 07:23:21, 169, 1
2019-09-27 07:23:23.6890, 2019-09-27, 07:23:23, 170, 1
2019-09-27 07:23:25.5610, 2019-09-27, 07:23:25, 171, 1
2019-09-27 07:23:28.1520, 2019-09-27, 07:23:28, 172, 1
2019-09-27 07:23:30.1910, 2019-09-27, 07:23:30, 173, 1
2019-09-27 07:23:32.3590, 2019-09-27, 07:23:32, 174, 1
2019-09-27 07:23:34.1260, 2019-09-27, 07:23:34, 175, 1
2019-09-27 07:23:36.4080, 2019-09-27, 07:23:36, 176, 1
2019-09-27 07:23:50.6570, 2019-09-27, 07:23:50, 177, 1
2019-09-27 07:23:53.1890, 2019-09-27, 07:23:53, 178, 1
2019-09-27 07:23:55.6100, 2019-09-27, 07:23:55, 179, 1
2019-09-27 07:23:58.1200, 2019-09-27, 07:23:58, 180, 1
2019-09-27 07:23:59.9580, 2019-09-27, 07:23:59, 181, 1
2019-09-27 07:24:02.3500, 2019-09-27, 07:24:02, 182, 1
2019-09-27 07:24:04.9850, 2019-09-27, 07:24:04, 183, 1
2019-09-27 07:24:06.9940, 2019-09-27, 07:24:06, 184, 1
2019-09-27 07:24:13.1320, 2019-09-27, 07:24:13, 185, 1
2019-09-27 07:24:15.0190, 2019-09-27, 07:24:15, 186, 1
2019-09-27 07:24:16.8930, 2019-09-27, 07:24:16, 187, 1
2019-09-27 07:24:20.1600, 2019-09-27, 07:24:20, 188, 1
2019-09-27 07:24:22.5450, 2019-09-27, 07:24:22, 189, 1
2019-09-27 07:24:24.6870, 2019-09-27, 07:24:24, 190, 1
2019-09-27 07:24:29.7610, 2019-09-27, 07:24:29, 191, 1
2019-09-27 07:24:33.4800, 2019-09-27, 07:24:33, 192, 1
2019-09-27 07:24:35.6250, 2019-09-27, 07:24:35, 193, 1
2019-09-27 07:24:37.9720, 2019-09-27, 07:24:37, 194, 1
2019-09-27 07:24:39.5640, 2019-09-27, 07:24:39, 195, 1
2019-09-27 07:24:41.6460, 2019-09-27, 07:24:41, 196, 1
2019-09-27 07:24:47.1150, 2019-09-27, 07:24:47, 197, 1
2019-09-27 07:24:49.8150, 2019-09-27, 07:24:49, 198, 1
2019-09-27 07:24:52.4210, 2019-09-27, 07:24:52, 199, 1
2019-09-27 07:24:55.0110, 2019-09-27, 07:24:55, 200, 1
2019-09-27 07:24:57.1880, 2019-09-27, 07:24:57, 201, 1
2019-09-27 07:24:59.4780, 2019-09-27, 07:24:59, 202, 1
2019-09-27 07:25:01.8400, 2019-09-27, 07:25:01, 203, 1
2019-09-27 07:25:03.8540, 2019-09-27, 07:25:03, 204, 1
2019-09-27 07:25:06.8570, 2019-09-27, 07:25:06, 205, 1
2019-09-27 07:25:11.3330, 2019-09-27, 07:25:11, 206, 1
2019-09-27 07:25:12.7700, 2019-09-27, 07:25:12, 207, 1
2019-09-27 07:25:14.9840, 2019-09-27, 07:25:14, 208, 1
2019-09-27 07:25:17.9010, 2019-09-27, 07:25:17, 209, 1
2019-09-27 07:25:20.3510, 2019-09-27, 07:25:20, 210, 1
2019-09-27 07:25:22.9220, 2019-09-27, 07:25:22, 211, 1
2019-09-27 07:25:26.1450, 2019-09-27, 07:25:26, 212, 1
2019-09-27 07:25:36.1780, 2019-09-27, 07:25:36, 213, 1
2019-09-27 07:25:38.6640, 2019-09-27, 07:25:38, 214, 1
2019-09-27 07:25:40.6240, 2019-09-27, 07:25:40, 215, 1
2019-09-27 07:25:43.0810, 2019-09-27, 07:25:43, 216, 1
2019-09-27 07:25:44.4910, 2019-09-27, 07:25:44, 217, 1
2019-09-27 07:25:47.8310, 2019-09-27, 07:25:47, 218, 1
2019-09-27 07:25:50.9060, 2019-09-27, 07:25:50, 219, 1
2019-09-27 07:25:53.1470, 2019-09-27, 07:25:53, 220, 1
2019-09-27 07:25:54.6820, 2019-09-27, 07:25:54, 221, 1
2019-09-27 07:25:57.0390, 2019-09-27, 07:25:57, 222, 1
2019-09-27 07:25:59.2520, 2019-09-27, 07:25:59, 223, 1
2019-09-27 07:26:01.5070, 2019-09-27, 07:26:01, 224, 1
2019-09-27 07:26:03.1320, 2019-09-27, 07:26:03, 225, 1
2019-09-27 07:26:04.8720, 2019-09-27, 07:26:04, 226, 1
2019-09-27 07:26:12.2640, 2019-09-27, 07:26:12, 227, 1
2019-09-27 07:26:14.8750, 2019-09-27, 07:26:14, 228, 1
2019-09-27 07:26:17.8500, 2019-09-27, 07:26:17, 229, 1
2019-09-27 07:26:19.8400, 2019-09-27, 07:26:19, 230, 1
2019-09-27 07:26:22.9550, 2019-09-27, 07:26:22, 231, 1
2019-09-27 07:26:25.0280, 2019-09-27, 07:26:25, 232, 1
2019-09-27 07:26:26.5190, 2019-09-27, 07:26:26, 233, 1
2019-09-27 07:26:31.0780, 2019-09-27, 07:26:31, 234, 1
2019-09-27 07:26:33.8450, 2019-09-27, 07:26:33, 235, 1
2019-09-27 07:26:36.6700, 2019-09-27, 07:26:36, 236, 1
2019-09-27 07:26:38.6340, 2019-09-27, 07:26:38, 237, 1
2019-09-27 07:26:39.5770, 2019-09-27, 07:26:39, 238, 1
2019-09-27 07:26:41.5570, 2019-09-27, 07:26:41, 239, 1
2019-09-27 07:26:44.8360, 2019-09-27, 07:26:44, 240, 1
2019-09-27 07:26:47.7130, 2019-09-27, 07:26:47, 241, 1
2019-09-27 07:26:50.8130, 2019-09-27, 07:26:50, 242, 1
2019-09-27 07:26:53.4460, 2019-09-27, 07:26:53, 243, 1
2019-09-27 07:26:55.2570, 2019-09-27, 07:26:55, 244, 1
2019-09-27 07:26:57.4960, 2019-09-27, 07:26:57, 245, 1
2019-09-27 07:27:00.4460, 2019-09-27, 07:27:00, 246, 1
2019-09-27 07:27:01.7230, 2019-09-27, 07:27:01, 247, 1
2019-09-27 07:27:04.5160, 2019-09-27, 07:27:04, 248, 1
2019-09-27 07:27:08.3730, 2019-09-27, 07:27:08, 249, 1
2019-09-27 07:27:10.4650, 2019-09-27, 07:27:10, 250, 1
2019-09-27 07:27:13.2760, 2019-09-27, 07:27:13, 251, 1
2019-09-27 07:27:15.4090, 2019-09-27, 07:27:15, 252, 1
2019-09-27 07:27:18.4020, 2019-09-27, 07:27:18, 253, 1
2019-09-27 07:27:20.1000, 2019-09-27, 07:27:20, 254, 1
2019-09-27 07:27:25.2510, 2019-09-27, 07:27:25, 255, 1
2019-09-27 07:27:31.3750, 2019-09-27, 07:27:31, 256, 1
2019-09-27 07:27:40.1430, 2019-09-27, 07:27:40, 257, 1
2019-09-27 07:27:41.9220, 2019-09-27, 07:27:41, 258, 1
2019-09-27 07:27:44.9930, 2019-09-27, 07:27:44, 259, 1
2019-09-27 07:27:56.3430, 2019-09-27, 07:27:56, 260, 1
2019-09-27 07:28:04.8720, 2019-09-27, 07:28:04, 261, 1
2019-09-27 07:28:07.0480, 2019-09-27, 07:28:07, 262, 1
2019-09-27 07:28:09.5130, 2019-09-27, 07:28:09, 263, 1
2019-09-27 07:28:12.0340, 2019-09-27, 07:28:12, 264, 1
2019-09-27 07:28:14.0800, 2019-09-27, 07:28:14, 265, 1
2019-09-27 07:28:15.5720, 2019-09-27, 07:28:15, 266, 1
2019-09-27 07:28:18.4660, 2019-09-27, 07:28:18, 267, 1
2019-09-27 07:28:20.1140, 2019-09-27, 07:28:20, 268, 1
2019-09-27 07:28:25.6140, 2019-09-27, 07:28:25, 269, 1
2019-09-27 07:28:28.4430, 2019-09-27, 07:28:28, 270, 1
2019-09-27 07:28:30.6330, 2019-09-27, 07:28:30, 271, 1
2019-09-27 07:28:41.0420, 2019-09-27, 07:28:41, 272, 1
2019-09-27 07:28:42.9770, 2019-09-27, 07:28:42, 273, 1
2019-09-27 07:28:44.8710, 2019-09-27, 07:28:44, 274, 1
2019-09-27 07:28:49.0160, 2019-09-27, 07:28:49, 275, 1
2019-09-27 07:28:54.5250, 2019-09-27, 07:28:54, 276, 1
2019-09-27 07:28:55.5380, 2019-09-27, 07:28:55, 277, 1
2019-09-27 07:29:00.8540, 2019-09-27, 07:29:00, 278, 1
2019-09-27 07:29:03.2740, 2019-09-27, 07:29:03, 279, 1
2019-09-27 07:29:06.3380, 2019-09-27, 07:29:06, 280, 1
2019-09-27 07:29:09.8420, 2019-09-27, 07:29:09, 281, 1
2019-09-27 07:29:12.2880, 2019-09-27, 07:29:12, 282, 1
2019-09-27 07:29:14.0920, 2019-09-27, 07:29:14, 283, 1
2019-09-27 07:29:16.3070, 2019-09-27, 07:29:16, 284, 1
2019-09-27 07:29:19.4230, 2019-09-27, 07:29:19, 285, 1
2019-09-27 07:29:20.6240, 2019-09-27, 07:29:20, 286, 1
2019-09-27 07:29:22.4310, 2019-09-27, 07:29:22, 287, 1
2019-09-27 07:29:24.3750, 2019-09-27, 07:29:24, 288, 1
2019-09-27 07:29:26.9510, 2019-09-27, 07:29:26, 289, 1
2019-09-27 07:29:28.5740, 2019-09-27, 07:29:28, 290, 1
2019-09-27 07:29:30.9270, 2019-09-27, 07:29:30, 291, 1
2019-09-27 07:29:32.7870, 2019-09-27, 07:29:32, 292, 1
2019-09-27 07:29:35.3620, 2019-09-27, 07:29:35, 293, 1
2019-09-27 07:29:36.8700, 2019-09-27, 07:29:36, 294, 1
2019-09-27 07:29:40.8270, 2019-09-27, 07:29:40, 295, 1
2019-09-27 07:29:42.9250, 2019-09-27, 07:29:42, 296, 1
2019-09-27 07:29:45.0940, 2019-09-27, 07:29:45, 297, 1
2019-09-27 07:29:47.7010, 2019-09-27, 07:29:47, 298, 1
2019-09-27 07:29:49.5780, 2019-09-27, 07:29:49, 299, 1
2019-09-27 07:29:54.6520, 2019-09-27, 07:29:54, 300, 1
2019-09-27 07:29:56.8350, 2019-09-27, 07:29:56, 301, 1
2019-09-27 07:29:59.7200, 2019-09-27, 07:29:59, 302, 1
2019-09-27 07:30:01.6790, 2019-09-27, 07:30:01, 303, 1
2019-09-27 07:30:03.8530, 2019-09-27, 07:30:03, 304, 1
2019-09-27 07:30:05.7440, 2019-09-27, 07:30:05, 305, 1
2019-09-27 07:30:07.8280, 2019-09-27, 07:30:07, 306, 1
2019-09-27 07:30:09.4630, 2019-09-27, 07:30:09, 307, 1
2019-09-27 07:30:12.3320, 2019-09-27, 07:30:12, 308, 1
2019-09-27 07:30:14.9650, 2019-09-27, 07:30:14, 309, 1
2019-09-27 07:30:17.6130, 2019-09-27, 07:30:17, 310, 1
2019-09-27 07:30:20.3340, 2019-09-27, 07:30:20, 311, 1
2019-09-27 07:30:22.5990, 2019-09-27, 07:30:22, 312, 1
2019-09-27 07:30:25.4980, 2019-09-27, 07:30:25, 313, 1
2019-09-27 07:30:29.8390, 2019-09-27, 07:30:29, 314, 1
2019-09-27 07:30:32.7250, 2019-09-27, 07:30:32, 315, 1
2019-09-27 07:30:34.8070, 2019-09-27, 07:30:34, 316, 1
2019-09-27 07:30:36.7390, 2019-09-27, 07:30:36, 317, 1
2019-09-27 07:30:39.4230, 2019-09-27, 07:30:39, 318, 1
2019-09-27 07:30:41.7500, 2019-09-27, 07:30:41, 319, 1
2019-09-27 07:30:43.2740, 2019-09-27, 07:30:43, 320, 1
2019-09-27 07:30:45.7240, 2019-09-27, 07:30:45, 321, 1
2019-09-27 07:30:49.2280, 2019-09-27, 07:30:49, 322, 1
2019-09-27 07:30:52.3140, 2019-09-27, 07:30:52, 323, 1
2019-09-27 07:30:54.2880, 2019-09-27, 07:30:54, 324, 1
2019-09-27 07:30:56.7260, 2019-09-27, 07:30:56, 325, 1
2019-09-27 07:30:59.4700, 2019-09-27, 07:30:59, 326, 1
2019-09-27 07:31:01.0550, 2019-09-27, 07:31:01, 327, 1
2019-09-27 07:31:03.5440, 2019-09-27, 07:31:03, 328, 1
2019-09-27 07:31:06.2650, 2019-09-27, 07:31:06, 329, 1
2019-09-27 07:31:09.1690, 2019-09-27, 07:31:09, 330, 1
2019-09-27 07:31:10.5460, 2019-09-27, 07:31:10, 331, 1
2019-09-27 07:31:13.0130, 2019-09-27, 07:31:13, 332, 1
2019-09-27 07:31:15.0570, 2019-09-27, 07:31:15, 333, 1
2019-09-27 07:31:18.1130, 2019-09-27, 07:31:18, 334, 1
2019-09-27 07:31:25.6550, 2019-09-27, 07:31:25, 335, 1
2019-09-27 07:31:27.2300, 2019-09-27, 07:31:27, 336, 1
2019-09-27 07:31:29.4150, 2019-09-27, 07:31:29, 337, 1
2019-09-27 07:31:31.6130, 2019-09-27, 07:31:31, 338, 1
2019-09-27 07:31:35.0890, 2019-09-27, 07:31:35, 339, 1
2019-09-27 07:31:37.7080, 2019-09-27, 07:31:37, 340, 1
2019-09-27 07:31:39.6800, 2019-09-27, 07:31:39, 341, 1
2019-09-27 07:31:41.6580, 2019-09-27, 07:31:41, 342, 1
2019-09-27 07:31:41.8680, 2019-09-27, 07:31:41, 343, 1
2019-09-27 07:31:44.9610, 2019-09-27, 07:31:44, 344, 1
2019-09-27 07:31:48.3440, 2019-09-27, 07:31:48, 345, 1
2019-09-27 07:31:50.2070, 2019-09-27, 07:31:50, 346, 1
2019-09-27 07:31:52.7950, 2019-09-27, 07:31:52, 347, 1
2019-09-27 07:31:55.3570, 2019-09-27, 07:31:55, 348, 1
2019-09-27 07:31:58.2170, 2019-09-27, 07:31:58, 349, 1
2019-09-27 07:31:59.5340, 2019-09-27, 07:31:59, 350, 1
2019-09-27 07:32:01.7520, 2019-09-27, 07:32:01, 351, 1
2019-09-27 07:32:03.5430, 2019-09-27, 07:32:03, 352, 1
2019-09-27 07:32:04.9860, 2019-09-27, 07:32:04, 353, 1
2019-09-27 07:32:11.3850, 2019-09-27, 07:32:11, 354, 1
2019-09-27 07:32:13.3970, 2019-09-27, 07:32:13, 355, 1
2019-09-27 07:32:15.5450, 2019-09-27, 07:32:15, 356, 1
2019-09-27 07:32:18.1320, 2019-09-27, 07:32:18, 357, 1
2019-09-27 07:32:21.2790, 2019-09-27, 07:32:21, 358, 1
2019-09-27 07:32:25.3290, 2019-09-27, 07:32:25, 359, 1
2019-09-27 07:32:28.5720, 2019-09-27, 07:32:28, 360, 1
2019-09-27 07:32:30.8630, 2019-09-27, 07:32:30, 361, 1
2019-09-27 07:32:32.9970, 2019-09-27, 07:32:32, 362, 1
2019-09-27 07:32:35.9470, 2019-09-27, 07:32:35, 363, 1
2019-09-27 07:32:37.7040, 2019-09-27, 07:32:37, 364, 1
2019-09-27 07:32:39.4280, 2019-09-27, 07:32:39, 365, 1
2019-09-27 07:32:41.5990, 2019-09-27, 07:32:41, 366, 1
2019-09-27 07:32:44.7900, 2019-09-27, 07:32:44, 367, 1
2019-09-27 07:32:46.8720, 2019-09-27, 07:32:46, 368, 1
2019-09-27 07:32:56.9650, 2019-09-27, 07:32:56, 369, 1
2019-09-27 07:32:58.6010, 2019-09-27, 07:32:58, 370, 1
2019-09-27 07:33:01.7500, 2019-09-27, 07:33:01, 371, 1
2019-09-27 07:33:03.1500, 2019-09-27, 07:33:03, 372, 1
2019-09-27 07:33:07.5220, 2019-09-27, 07:33:07, 373, 1
2019-09-27 07:33:09.5020, 2019-09-27, 07:33:09, 374, 1
2019-09-27 07:33:11.9300, 2019-09-27, 07:33:11, 375, 1
2019-09-27 07:33:15.6550, 2019-09-27, 07:33:15, 376, 1
2019-09-27 07:33:27.6060, 2019-09-27, 07:33:27, 377, 1
